Time                             Mshell         energy           flux
2022-01-12/00:46:15          12.08     3.375     0.000
2022-01-12/00:46:15          12.08     4.202     0.000
2022-01-12/00:46:15          12.08     5.232     0.000
2022-01-12/00:46:15          12.08     6.521     0.000
2022-01-12/00:46:15          12.08     8.126     0.000
2022-01-12/00:46:15          12.08     10.11     0.000
2022-01-12/00:46:15          12.08     12.59     0.000
2022-01-12/00:46:15          12.08     15.68     0.000
2022-01-12/00:46:15          12.08     19.53     0.000
2022-01-12/00:46:15          12.08     24.32     0.000
2022-01-12/00:46:15          12.08     39.23     0.000
2022-01-12/00:46:15          12.08     46.73     0.000
2022-01-12/00:46:15          12.08     56.30     0.000
2022-01-12/00:46:15          12.08     67.84     0.000
2022-01-12/00:46:15          12.08     81.77     0.000
2022-01-12/00:46:15          12.08     98.36     0.000
2022-01-12/00:46:15          12.08     118.6     0.000
2022-01-12/00:46:15          12.08     142.9     0.000
2022-01-12/00:46:15          12.08     171.8     0.000
2022-01-12/00:46:15          12.08     206.7     0.000
2022-01-12/00:46:15          12.08     247.6     0.000
2022-01-12/00:46:15          12.08     295.9     0.000
2022-01-12/00:46:15          12.08     353.2     0.000
2022-01-12/00:46:15          12.08     421.5     0.000
2022-01-12/00:46:15          12.08     504.2     0.000
2022-01-12/00:46:15          12.08     605.4     0.000
2022-01-12/00:46:15          12.08     731.8     0.000
2022-01-12/00:46:15          12.08     972.3     0.000
2022-01-12/00:46:45          12.08   0.03075     0.000
2022-01-12/00:46:45          12.08   0.03242     0.000
2022-01-12/00:46:45          12.08   0.04127     0.000
2022-01-12/00:46:45          12.08   0.05200     0.000
2022-01-12/00:46:45          12.08   0.06481     0.000
2022-01-12/00:46:45          12.08   0.08088     0.000
2022-01-12/00:46:45          12.08    0.1005     0.000
2022-01-12/00:46:45          12.08    0.1256     0.000
2022-01-12/00:46:45          12.08    0.1565     0.000
2022-01-12/00:46:45          12.08    0.1950     0.000
2022-01-12/00:46:45          12.08    0.2432     0.000
2022-01-12/00:46:45          12.08    0.3030     0.000
2022-01-12/00:46:45          12.08    0.3776     0.000
2022-01-12/00:46:45          12.08    0.4700     0.000
2022-01-12/00:46:45          12.08    0.5855     0.000
2022-01-12/00:46:45          12.08    0.7291     0.000
2022-01-12/00:46:45          12.08    0.9078     0.000
2022-01-12/00:46:45          12.08     1.129     0.000
2022-01-12/00:46:45          12.08     1.406     0.000
2022-01-12/00:46:45          12.08     1.751     0.000
2022-01-12/00:46:45          12.08     2.180     0.000
